ptu_index,time_utc,baseline_kw,num_vehicles_charging
0,00:00,0.0,0.0
1,00:30,0.0,0.0
2,01:00,0.0,0.0
3,01:30,0.0,0.0
4,02:00,0.0,0.0
5,02:30,0.0,0.0
6,03:00,0.0,0.0
7,03:30,0.0,0.0
8,04:00,0.0,0.0
9,04:30,0.0,0.0
10,05:00,0.0,0.0
11,05:30,0.0,0.0
12,06:00,0.0,0.0
13,06:30,0.0,0.0
14,07:00,0.0,0.0
15,07:30,0.0,0.0
16,08:00,0.0,0.0
17,08:30,0.0,0.0
18,09:00,0.0,0.0
19,09:30,0.0,0.0
20,10:00,0.0,0.0
21,10:30,0.0,0.0
22,11:00,0.0,0.0
23,11:30,0.0,0.0
24,12:00,0.0,0.0
25,12:30,0.0,0.0
26,13:00,0.0,0.0
27,13:30,0.0,0.0
28,14:00,0.0,0.0
29,14:30,0.0,0.0
30,15:00,0.0,0.0
31,15:30,7.3941344057980025,1.0
32,16:00,7.398989732038133,1.0
33,16:30,125.212974453743,19.0
34,17:00,284.0689877154289,41.0
35,17:30,283.4404833365827,41.0
36,18:00,203.32402738402797,31.0
37,18:30,175.38833052348383,27.0
38,19:00,135.9609336676635,22.0
39,19:30,110.10447342417844,18.0
40,20:00,40.99938316164496,7.0
41,20:30,25.87289258380883,4.0
42,21:00,11.062866463004376,2.0
43,21:30,3.7192382367168277,1.0
44,22:00,3.6887961125148685,1.0
45,22:30,3.733781179700618,1.0
46,23:00,0.0,0.0
47,23:30,0.0,0.0
