ptu,time,optimized_kw,baseline_kw,turndown_kw,tariff_p_kwh
0,00:00,70.38709677419354,0.0,-70.38709677419354,15.0
1,00:30,70.38709677419355,0.0,-70.38709677419355,15.851063829787234
2,01:00,26.241021505376352,0.0,-26.241021505376352,16.70212765957447
3,01:30,7.4,0.0,-7.4,17.5531914893617
4,02:00,7.4,0.0,-7.4,18.404255319148938
5,02:30,0.0,0.0,0.0,19.25531914893617
6,03:00,0.0,0.0,0.0,20.106382978723403
7,03:30,0.0,0.0,0.0,20.95744680851064
8,04:00,0.0,0.0,0.0,21.80851063829787
9,04:30,0.0,0.0,0.0,22.659574468085108
10,05:00,0.0,0.0,0.0,23.51063829787234
11,05:30,0.0,0.0,0.0,24.361702127659576
12,06:00,0.0,0.0,0.0,25.21276595744681
13,06:30,0.0,0.0,0.0,26.06382978723404
14,07:00,0.0,0.0,0.0,26.914893617021278
15,07:30,0.0,0.0,0.0,27.76595744680851
16,08:00,0.0,0.0,0.0,28.617021276595743
17,08:30,0.0,0.0,0.0,29.46808510638298
18,09:00,0.0,0.0,0.0,30.319148936170215
19,09:30,0.0,0.0,0.0,31.170212765957448
20,10:00,0.0,0.0,0.0,32.02127659574468
21,10:30,0.0,0.0,0.0,32.87234042553192
22,11:00,0.0,0.0,0.0,33.72340425531915
23,11:30,0.0,0.0,0.0,34.57446808510638
24,12:00,0.0,0.0,0.0,35.42553191489362
25,12:30,0.0,0.0,0.0,36.27659574468085
26,13:00,0.0,0.0,0.0,37.12765957446808
27,13:30,0.0,0.0,0.0,37.97872340425532
28,14:00,0.0,0.0,0.0,38.829787234042556
29,14:30,0.0,0.0,0.0,39.68085106382979
30,15:00,0.0,0.0,0.0,40.53191489361702
31,15:30,0.0,0.0,0.0,41.38297872340426
32,16:00,0.0,0.0,0.0,42.234042553191486
33,16:30,0.0,13.14,13.14,43.08510638297872
34,17:00,21.0041397849462,63.75999999999999,42.75586021505379,43.93617021276596
35,17:30,1.4,51.13999999999999,49.739999999999995,44.787234042553195
36,18:00,23.6,37.71999999999999,14.11999999999999,45.63829787234043
37,18:30,0.0,19.18,19.18,46.48936170212766
38,19:00,0.0,13.839999999999998,13.839999999999998,47.340425531914896
39,19:30,2.64086021505376,8.940000000000003,6.299139784946243,48.191489361702125
40,20:00,1.73978494623656,7.4,5.660215053763441,49.04255319148936
41,20:30,1.4,1.4199999999999982,0.01999999999999824,49.8936170212766
42,21:00,0.0,0.0,0.0,50.74468085106383
43,21:30,0.0,0.0,0.0,51.59574468085106
44,22:00,0.0,0.0,0.0,52.4468085106383
45,22:30,0.0,0.0,0.0,53.297872340425535
46,23:00,0.0,0.0,0.0,54.148936170212764
47,23:30,0.0,0.0,0.0,55.0
